Designator,Mid X,Mid Y,Rotation,Layer
FPC1,143.0,-100.0,180.0,top
FPC2,211.0,-100.0,180.0,top
J3,1.165,-1.025,0.0,top
J4,176.88,-115.4,90.0,top
J5,176.87,-100.0,270.0,top
U2,141.4,-110.0,270.0,top
U3,208.3,-110.0,270.0,top
VBAT1,195.25,-105.25,0.0,top
VP1,157.5,-112.0,0.0,top
VREF1,191.75,-112.5,0.0,top
